doc_id,title,url,publisher,licence,access_date
ukps01,Statutory Sick Pay (SSP),https://www.gov.uk/statutory-sick-pay/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps02,Jury service,https://www.gov.uk/jury-service/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps03,Universal Credit,https://www.gov.uk/universal-credit/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps04,Self Assessment tax returns,https://www.gov.uk/self-assessment-tax-returns/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps05,Getting an MOT,https://www.gov.uk/getting-an-mot/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps06,"Make, register or end a lasting power of attorney",https://www.gov.uk/power-of-attorney/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps07,Renting out your property,https://www.gov.uk/renting-out-a-property/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps08,Holiday entitlement,https://www.gov.uk/holiday-entitlement-rights/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps09,Register a birth,https://www.gov.uk/register-birth/print,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps10,Flu vaccine,https://www.nhs.uk/vaccinations/flu-vaccine/,NHS,Open Government Licence v3.0,2026-07-19
ukps11,High blood pressure,https://www.nhs.uk/conditions/high-blood-pressure/,NHS,Open Government Licence v3.0,2026-07-19
ukps12,Measles,https://www.nhs.uk/conditions/measles/,NHS,Open Government Licence v3.0,2026-07-19
ukps13,Chickenpox,https://www.nhs.uk/conditions/chickenpox/,NHS,Open Government Licence v3.0,2026-07-19
ukps14,Norovirus (vomiting bug),https://www.nhs.uk/conditions/norovirus/,NHS,Open Government Licence v3.0,2026-07-19
ukps15,Sepsis,https://www.nhs.uk/conditions/sepsis/,NHS,Open Government Licence v3.0,2026-07-19
ukps16,A pro-innovation approach to AI regulation,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps17,Online Safety Act: explainer,https://www.gov.uk/government/publications/online-safety-act-explainer/online-safety-act-explainer,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps18,UK Biological Security Strategy (HTML),https://www.gov.uk/government/publications/uk-biological-security-strategy/uk-biological-security-strategy-html,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps19,Cyber security breaches survey 2024,https://www.gov.uk/government/statistics/cyber-security-breaches-survey-2024/cyber-security-breaches-survey-2024,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps20,National AI Strategy - HTML version,https://www.gov.uk/government/publications/national-ai-strategy/national-ai-strategy-html-version,GOV.UK,Open Government Licence v3.0,2026-07-19
ukps21,The basic State Pension,https://www.gov.uk/state-pension/print,GOV.UK,Open Government Licence v3.0,2026-07-21
ukps22,Redundancy: your rights,https://www.gov.uk/redundancy-your-rights/print,GOV.UK,Open Government Licence v3.0,2026-07-21
ukps23,Maternity pay and leave,https://www.gov.uk/maternity-pay-leave/print,GOV.UK,Open Government Licence v3.0,2026-07-21
ukps24,Child Benefit,https://www.gov.uk/child-benefit/print,GOV.UK,Open Government Licence v3.0,2026-07-21
ukps25,Asthma,https://www.nhs.uk/conditions/asthma/,NHS,Open Government Licence v3.0,2026-07-21
ukps26,Food poisoning,https://www.nhs.uk/conditions/food-poisoning/,NHS,Open Government Licence v3.0,2026-07-21
