model,precision,task,metric,n,mean,ci_lo,ci_hi
gemma2-2b,q4_k_m,cnndm,rouge1,50,0.369203,0.346873,0.390240
gemma2-2b,q4_k_m,cnndm,rouge2,50,0.124519,0.107067,0.141549
gemma2-2b,q4_k_m,cnndm,rougeL,50,0.227525,0.210520,0.245825
gemma2-2b,q4_k_m,cuad,em,50,0.040000,0.000000,0.100000
gemma2-2b,q4_k_m,cuad,f1,50,0.325054,0.225617,0.429611
gemma2-2b,q4_k_m,hotpotqa,em,50,0.600000,0.480000,0.720000
gemma2-2b,q4_k_m,hotpotqa,f1,50,0.709355,0.589567,0.821000
gemma2-2b,q4_k_m,truthfulqa_mc1,mc1,25,0.400000,0.240000,0.600000
gemma2-2b,q4_k_m,truthfulqa_mc2,mc2,25,0.536344,0.360894,0.712761
gemma2-2b,q8_0,cnndm,rouge1,50,0.384257,0.361697,0.404456
gemma2-2b,q8_0,cnndm,rouge2,50,0.139441,0.122097,0.157857
gemma2-2b,q8_0,cnndm,rougeL,50,0.237779,0.219370,0.257244
gemma2-2b,q8_0,cuad,em,50,0.060000,0.000000,0.140000
gemma2-2b,q8_0,cuad,f1,50,0.420530,0.326926,0.516665
gemma2-2b,q8_0,hotpotqa,em,50,0.640000,0.520000,0.780000
gemma2-2b,q8_0,hotpotqa,f1,50,0.772688,0.671091,0.870022
gemma2-2b,q8_0,truthfulqa_mc1,mc1,25,0.440000,0.240000,0.640000
gemma2-2b,q8_0,truthfulqa_mc2,mc2,25,0.602906,0.425936,0.767405
