model,task,metric,precision,n,mean,ci_lo,ci_hi,delta_vs_fp16,delta_lo,delta_hi,n_paired,distinguishable,n_identical
gemma2-2b,cnndm,rouge1,fp16,150,0.364497,0.350642,0.378239,,,,,,
gemma2-2b,cnndm,rouge1,q4_k_m,150,0.354792,0.339546,0.370862,-0.009705,-0.017204,-0.001927,150,True,1
gemma2-2b,cnndm,rouge1,q8_0,150,0.365453,0.350653,0.378929,0.000957,-0.002946,0.004889,150,False,46
gemma2-2b,cnndm,rouge2,fp16,150,0.119913,0.108915,0.131728,,,,,,
gemma2-2b,cnndm,rouge2,q4_k_m,150,0.112525,0.101580,0.123937,-0.007388,-0.013749,-0.000798,150,True,3
gemma2-2b,cnndm,rouge2,q8_0,150,0.122994,0.111724,0.134480,0.003081,-0.000486,0.007273,150,False,46
gemma2-2b,cnndm,rougeL,fp16,150,0.224224,0.213098,0.235554,,,,,,
gemma2-2b,cnndm,rougeL,q4_k_m,150,0.217962,0.207839,0.228707,-0.006262,-0.012482,-0.000286,150,True,0
gemma2-2b,cnndm,rougeL,q8_0,150,0.225912,0.214711,0.237054,0.001688,-0.002155,0.005927,150,False,44
gemma2-2b,cuad,em,fp16,200,0.060000,0.030000,0.095000,,,,,,
gemma2-2b,cuad,em,q4_k_m,200,0.050000,0.025000,0.085000,-0.010000,-0.035000,0.010000,200,False,194
gemma2-2b,cuad,em,q8_0,200,0.060000,0.030000,0.095000,0.000000,-0.020000,0.020000,200,False,196
gemma2-2b,cuad,f1,fp16,200,0.360618,0.314471,0.411844,,,,,,
gemma2-2b,cuad,f1,q4_k_m,200,0.343362,0.296830,0.396381,-0.017257,-0.057920,0.024360,200,False,84
gemma2-2b,cuad,f1,q8_0,200,0.384398,0.337316,0.436071,0.023779,0.003229,0.043315,200,True,163
gemma2-2b,hotpotqa,em,fp16,300,0.440000,0.386667,0.496667,,,,,,
gemma2-2b,hotpotqa,em,q4_k_m,300,0.430000,0.373333,0.486667,-0.010000,-0.040000,0.016667,300,False,281
gemma2-2b,hotpotqa,em,q8_0,300,0.440000,0.390000,0.500000,0.000000,-0.010000,0.010000,300,False,298
gemma2-2b,hotpotqa,f1,fp16,300,0.589949,0.541397,0.636975,,,,,,
gemma2-2b,hotpotqa,f1,q4_k_m,300,0.572989,0.522563,0.623116,-0.016960,-0.047004,0.012051,300,False,267
gemma2-2b,hotpotqa,f1,q8_0,300,0.592319,0.544540,0.641061,0.002370,-0.002889,0.010148,300,False,297
gemma2-2b,truthfulqa_mc1,mc1,fp16,817,0.391677,0.358629,0.424725,,,,,,
gemma2-2b,truthfulqa_mc1,mc1,q4_k_m,817,0.392901,0.359853,0.427173,0.001224,-0.011016,0.013464,817,False,786
gemma2-2b,truthfulqa_mc1,mc1,q8_0,817,0.394125,0.361077,0.427173,0.002448,-0.002448,0.009792,817,False,811
gemma2-2b,truthfulqa_mc2,mc2,fp16,817,0.557854,0.525678,0.589036,,,,,,
gemma2-2b,truthfulqa_mc2,mc2,q4_k_m,817,0.556248,0.525799,0.587158,-0.001606,-0.009787,0.007778,817,False,0
gemma2-2b,truthfulqa_mc2,mc2,q8_0,817,0.560156,0.527715,0.591688,0.002302,0.000992,0.003759,817,True,0
gemma2-2b,ukps_qa,em,fp16,60,0.500000,0.383333,0.616667,,,,,,
gemma2-2b,ukps_qa,em,q4_k_m,60,0.616667,0.500000,0.733333,0.116667,0.033333,0.200000,60,True,53
gemma2-2b,ukps_qa,em,q8_0,60,0.500000,0.383333,0.616667,0.000000,-0.050000,0.050000,60,False,58
gemma2-2b,ukps_qa,f1,fp16,60,0.758521,0.680999,0.829215,,,,,,
gemma2-2b,ukps_qa,f1,q4_k_m,60,0.827676,0.762728,0.887037,0.069154,0.020476,0.122825,60,True,49
gemma2-2b,ukps_qa,f1,q8_0,60,0.756140,0.681027,0.827871,-0.002381,-0.042857,0.035714,60,False,58
gemma2-2b,ukps_sum,rouge1,fp16,25,0.452855,0.419738,0.487405,,,,,,
gemma2-2b,ukps_sum,rouge1,q4_k_m,25,0.452773,0.420044,0.488583,-0.000082,-0.022599,0.024494,25,False,0
gemma2-2b,ukps_sum,rouge1,q8_0,25,0.463800,0.431454,0.499920,0.010945,0.000559,0.024166,25,True,10
gemma2-2b,ukps_sum,rouge2,fp16,25,0.169694,0.141602,0.199808,,,,,,
gemma2-2b,ukps_sum,rouge2,q4_k_m,25,0.179026,0.148695,0.208638,0.009332,-0.007407,0.026927,25,False,0
gemma2-2b,ukps_sum,rouge2,q8_0,25,0.174437,0.145769,0.205269,0.004743,-0.002730,0.015105,25,False,10
gemma2-2b,ukps_sum,rougeL,fp16,25,0.287666,0.251973,0.325923,,,,,,
gemma2-2b,ukps_sum,rougeL,q4_k_m,25,0.292519,0.261474,0.324350,0.004854,-0.016357,0.025904,25,False,0
gemma2-2b,ukps_sum,rougeL,q8_0,25,0.289277,0.253498,0.328841,0.001611,-0.002959,0.007412,25,False,10
llama32-3b,cnndm,rouge1,fp16,150,0.381392,0.366232,0.396319,,,,,,
llama32-3b,cnndm,rouge1,q4_k_m,150,0.375820,0.359813,0.391755,-0.005573,-0.013194,0.002027,150,False,2
llama32-3b,cnndm,rouge1,q8_0,150,0.382812,0.367721,0.397546,0.001420,-0.002288,0.005695,150,False,66
llama32-3b,cnndm,rouge2,fp16,150,0.142943,0.130664,0.154981,,,,,,
llama32-3b,cnndm,rouge2,q4_k_m,150,0.138216,0.126049,0.150282,-0.004727,-0.010137,0.001424,150,False,5
llama32-3b,cnndm,rouge2,q8_0,150,0.142007,0.130558,0.153338,-0.000935,-0.004418,0.002411,150,False,70
llama32-3b,cnndm,rougeL,fp16,150,0.236314,0.224702,0.247878,,,,,,
llama32-3b,cnndm,rougeL,q4_k_m,150,0.236051,0.224254,0.248433,-0.000264,-0.006198,0.005881,150,False,3
llama32-3b,cnndm,rougeL,q8_0,150,0.236956,0.225900,0.248210,0.000642,-0.003338,0.004567,150,False,69
llama32-3b,cuad,em,fp16,200,0.045000,0.020000,0.075000,,,,,,
llama32-3b,cuad,em,q4_k_m,200,0.045000,0.020000,0.075000,0.000000,-0.025000,0.025000,200,False,194
llama32-3b,cuad,em,q8_0,200,0.030000,0.010000,0.055000,-0.015000,-0.035000,0.000000,200,False,197
llama32-3b,cuad,f1,fp16,200,0.422280,0.374179,0.472634,,,,,,
llama32-3b,cuad,f1,q4_k_m,200,0.406355,0.354298,0.456486,-0.015925,-0.048503,0.017655,200,False,122
llama32-3b,cuad,f1,q8_0,200,0.408919,0.360062,0.457350,-0.013361,-0.031443,-0.000625,200,True,182
llama32-3b,hotpotqa,em,fp16,300,0.450000,0.396667,0.510000,,,,,,
