model,precision,task,metric,n,mean,ci_lo,ci_hi
phi3-mini,fp16,cnndm,rouge1,25,0.386185,0.344493,0.421320
phi3-mini,fp16,cnndm,rouge2,25,0.143300,0.116025,0.169845
phi3-mini,fp16,cnndm,rougeL,25,0.242650,0.211525,0.271236
phi3-mini,fp16,cuad,em,25,0.000000,0.000000,0.000000
phi3-mini,fp16,cuad,f1,25,0.389616,0.271322,0.512839
phi3-mini,fp16,hotpotqa,em,25,0.440000,0.280000,0.640000
phi3-mini,fp16,hotpotqa,f1,25,0.589619,0.429619,0.753524
phi3-mini,fp16,truthfulqa_mc1,mc1,13,0.461538,0.230769,0.692308
phi3-mini,fp16,truthfulqa_mc2,mc2,12,0.433711,0.188589,0.680473
phi3-mini,fp16,ukps_qa,em,25,0.000000,0.000000,0.000000
phi3-mini,fp16,ukps_qa,f1,25,0.390908,0.306652,0.481377
phi3-mini,fp16,ukps_sum,rouge1,25,0.476789,0.442163,0.508081
phi3-mini,fp16,ukps_sum,rouge2,25,0.209004,0.173903,0.245681
phi3-mini,fp16,ukps_sum,rougeL,25,0.315002,0.279434,0.350694
phi3-mini,q4_k_m,cnndm,rouge1,25,0.392107,0.353270,0.426209
phi3-mini,q4_k_m,cnndm,rouge2,25,0.139287,0.114323,0.165805
phi3-mini,q4_k_m,cnndm,rougeL,25,0.227561,0.198085,0.257937
phi3-mini,q4_k_m,cuad,em,25,0.040000,0.000000,0.120000
phi3-mini,q4_k_m,cuad,f1,25,0.363916,0.251853,0.485665
phi3-mini,q4_k_m,hotpotqa,em,25,0.440000,0.240000,0.640000
phi3-mini,q4_k_m,hotpotqa,f1,25,0.600730,0.429841,0.762571
phi3-mini,q4_k_m,truthfulqa_mc1,mc1,13,0.307692,0.076923,0.538462
phi3-mini,q4_k_m,truthfulqa_mc2,mc2,12,0.397239,0.154623,0.644416
phi3-mini,q4_k_m,ukps_qa,em,25,0.000000,0.000000,0.000000
phi3-mini,q4_k_m,ukps_qa,f1,25,0.360746,0.281367,0.442806
phi3-mini,q4_k_m,ukps_sum,rouge1,25,0.456476,0.422929,0.491976
phi3-mini,q4_k_m,ukps_sum,rouge2,25,0.194776,0.162041,0.227251
phi3-mini,q4_k_m,ukps_sum,rougeL,25,0.306946,0.278263,0.335806
phi3-mini,q8_0,cnndm,rouge1,25,0.386173,0.342248,0.421510
phi3-mini,q8_0,cnndm,rouge2,25,0.142763,0.114283,0.170923
phi3-mini,q8_0,cnndm,rougeL,25,0.233253,0.201227,0.262485
phi3-mini,q8_0,cuad,em,25,0.000000,0.000000,0.000000
phi3-mini,q8_0,cuad,f1,25,0.385217,0.264114,0.509421
phi3-mini,q8_0,hotpotqa,em,25,0.440000,0.280000,0.640000
phi3-mini,q8_0,hotpotqa,f1,25,0.574804,0.411323,0.745810
phi3-mini,q8_0,truthfulqa_mc1,mc1,13,0.461538,0.230769,0.692308
phi3-mini,q8_0,truthfulqa_mc2,mc2,12,0.437844,0.198903,0.685169
phi3-mini,q8_0,ukps_qa,em,25,0.040000,0.000000,0.120000
phi3-mini,q8_0,ukps_qa,f1,25,0.408051,0.312651,0.505386
phi3-mini,q8_0,ukps_sum,rouge1,25,0.469697,0.439002,0.500558
phi3-mini,q8_0,ukps_sum,rouge2,25,0.193804,0.163533,0.223750
phi3-mini,q8_0,ukps_sum,rougeL,25,0.305755,0.272289,0.341077
