model,precision,task,metric,n,mean,ci_lo,ci_hi
gemma2-2b,q4_k_m,cnndm,rouge1,25,0.371516,0.343398,0.399519
gemma2-2b,q4_k_m,cnndm,rouge2,25,0.126647,0.104185,0.155083
gemma2-2b,q4_k_m,cnndm,rougeL,25,0.225853,0.203154,0.253036
gemma2-2b,q4_k_m,cuad,em,25,0.080000,0.000000,0.200000
gemma2-2b,q4_k_m,cuad,f1,25,0.336451,0.198078,0.483475
gemma2-2b,q4_k_m,hotpotqa,em,25,0.600000,0.400000,0.760000
gemma2-2b,q4_k_m,hotpotqa,f1,25,0.708667,0.530000,0.854000
gemma2-2b,q4_k_m,truthfulqa_mc1,mc1,13,0.384615,0.153846,0.692308
gemma2-2b,q4_k_m,truthfulqa_mc2,mc2,12,0.431327,0.183759,0.668014
gemma2-2b,q4_k_m,ukps_qa,em,25,0.440000,0.280000,0.600000
gemma2-2b,q4_k_m,ukps_qa,f1,25,0.754190,0.657905,0.841048
gemma2-2b,q4_k_m,ukps_sum,rouge1,25,0.466814,0.429432,0.504150
gemma2-2b,q4_k_m,ukps_sum,rouge2,25,0.190293,0.157471,0.222985
gemma2-2b,q4_k_m,ukps_sum,rougeL,25,0.300528,0.265343,0.336314
gemma2-2b,q8_0,cnndm,rouge1,25,0.387678,0.360987,0.413785
gemma2-2b,q8_0,cnndm,rouge2,25,0.136211,0.114675,0.161348
gemma2-2b,q8_0,cnndm,rougeL,25,0.235396,0.212268,0.264167
gemma2-2b,q8_0,cuad,em,25,0.080000,0.000000,0.200000
gemma2-2b,q8_0,cuad,f1,25,0.412964,0.279763,0.548277
gemma2-2b,q8_0,hotpotqa,em,25,0.640000,0.440000,0.800000
gemma2-2b,q8_0,hotpotqa,f1,25,0.795333,0.643333,0.913333
gemma2-2b,q8_0,truthfulqa_mc1,mc1,13,0.461538,0.230769,0.769231
gemma2-2b,q8_0,truthfulqa_mc2,mc2,12,0.533184,0.275943,0.764579
gemma2-2b,q8_0,ukps_qa,em,25,0.320000,0.160000,0.480000
gemma2-2b,q8_0,ukps_qa,f1,25,0.675203,0.543073,0.800095
gemma2-2b,q8_0,ukps_sum,rouge1,25,0.464351,0.432812,0.498733
gemma2-2b,q8_0,ukps_sum,rouge2,25,0.178543,0.149048,0.210199
gemma2-2b,q8_0,ukps_sum,rougeL,25,0.294934,0.258126,0.331925
phi3-mini,q4_k_m,cnndm,rouge1,25,0.397422,0.358111,0.433523
phi3-mini,q4_k_m,cnndm,rouge2,25,0.137795,0.110930,0.164387
phi3-mini,q4_k_m,cnndm,rougeL,25,0.238418,0.211974,0.265938
phi3-mini,q4_k_m,cuad,em,25,0.040000,0.000000,0.120000
phi3-mini,q4_k_m,cuad,f1,25,0.360449,0.241174,0.483231
phi3-mini,q4_k_m,hotpotqa,em,25,0.440000,0.240000,0.640000
phi3-mini,q4_k_m,hotpotqa,f1,25,0.600730,0.429841,0.762571
phi3-mini,q4_k_m,truthfulqa_mc1,mc1,13,0.384615,0.153846,0.615385
phi3-mini,q4_k_m,truthfulqa_mc2,mc2,12,0.406060,0.168004,0.653164
phi3-mini,q4_k_m,ukps_qa,em,25,0.000000,0.000000,0.000000
phi3-mini,q4_k_m,ukps_qa,f1,25,0.360746,0.281367,0.442806
phi3-mini,q4_k_m,ukps_sum,rouge1,25,0.467206,0.434440,0.499038
phi3-mini,q4_k_m,ukps_sum,rouge2,25,0.198402,0.165960,0.230222
phi3-mini,q4_k_m,ukps_sum,rougeL,25,0.314696,0.283446,0.345511
