model,precision,task,metric,n,mean,ci_lo,ci_hi
gemma2-2b,fp16,cnndm,rouge1,150,0.364497,0.350642,0.378239
gemma2-2b,fp16,cnndm,rouge2,150,0.119913,0.108915,0.131728
gemma2-2b,fp16,cnndm,rougeL,150,0.224224,0.213098,0.235554
gemma2-2b,fp16,cuad,em,200,0.060000,0.030000,0.095000
gemma2-2b,fp16,cuad,f1,200,0.360618,0.314471,0.411844
gemma2-2b,fp16,hotpotqa,em,300,0.440000,0.386667,0.496667
gemma2-2b,fp16,hotpotqa,f1,300,0.589949,0.541397,0.636975
gemma2-2b,fp16,truthfulqa_mc1,mc1,817,0.391677,0.358629,0.424725
gemma2-2b,fp16,truthfulqa_mc2,mc2,817,0.557854,0.525678,0.589036
gemma2-2b,q4_k_m,cnndm,rouge1,150,0.354792,0.339546,0.370862
gemma2-2b,q4_k_m,cnndm,rouge2,150,0.112525,0.101580,0.123937
gemma2-2b,q4_k_m,cnndm,rougeL,150,0.217962,0.207839,0.228707
gemma2-2b,q4_k_m,cuad,em,200,0.050000,0.025000,0.085000
gemma2-2b,q4_k_m,cuad,f1,200,0.343362,0.296830,0.396381
gemma2-2b,q4_k_m,hotpotqa,em,300,0.430000,0.373333,0.486667
gemma2-2b,q4_k_m,hotpotqa,f1,300,0.572989,0.522563,0.623116
gemma2-2b,q4_k_m,truthfulqa_mc1,mc1,817,0.392901,0.359853,0.427173
gemma2-2b,q4_k_m,truthfulqa_mc2,mc2,817,0.556248,0.525799,0.587158
gemma2-2b,q8_0,cnndm,rouge1,150,0.365453,0.350653,0.378929
gemma2-2b,q8_0,cnndm,rouge2,150,0.122994,0.111724,0.134480
gemma2-2b,q8_0,cnndm,rougeL,150,0.225912,0.214711,0.237054
gemma2-2b,q8_0,cuad,em,200,0.060000,0.030000,0.095000
gemma2-2b,q8_0,cuad,f1,200,0.384398,0.337316,0.436071
gemma2-2b,q8_0,hotpotqa,em,300,0.440000,0.390000,0.500000
gemma2-2b,q8_0,hotpotqa,f1,300,0.592319,0.544540,0.641061
gemma2-2b,q8_0,truthfulqa_mc1,mc1,817,0.394125,0.361077,0.427173
gemma2-2b,q8_0,truthfulqa_mc2,mc2,817,0.560156,0.527715,0.591688
llama32-3b,fp16,cnndm,rouge1,150,0.381392,0.366232,0.396319
llama32-3b,fp16,cnndm,rouge2,150,0.142943,0.130664,0.154981
llama32-3b,fp16,cnndm,rougeL,150,0.236314,0.224702,0.247878
llama32-3b,fp16,cuad,em,200,0.045000,0.020000,0.075000
llama32-3b,fp16,cuad,f1,200,0.422280,0.374179,0.472634
llama32-3b,fp16,hotpotqa,em,300,0.450000,0.396667,0.510000
llama32-3b,fp16,hotpotqa,f1,300,0.604382,0.557055,0.652542
llama32-3b,fp16,truthfulqa_mc1,mc1,817,0.301102,0.269278,0.332925
llama32-3b,fp16,truthfulqa_mc2,mc2,817,0.464951,0.435866,0.495456
llama32-3b,q4_k_m,cnndm,rouge1,150,0.375820,0.359813,0.391755
llama32-3b,q4_k_m,cnndm,rouge2,150,0.138216,0.126049,0.150282
llama32-3b,q4_k_m,cnndm,rougeL,150,0.236051,0.224254,0.248433
llama32-3b,q4_k_m,cuad,em,200,0.045000,0.020000,0.075000
llama32-3b,q4_k_m,cuad,f1,200,0.406355,0.354298,0.456486
