model,precision,task,metric,n,mean,ci_lo,ci_hi
gemma2-2b,fp16,ukps_qa,em,60,0.500000,0.383333,0.616667
gemma2-2b,fp16,ukps_qa,f1,60,0.758521,0.680999,0.829215
gemma2-2b,fp16,ukps_sum,rouge1,25,0.452855,0.419738,0.487405
gemma2-2b,fp16,ukps_sum,rouge2,25,0.169694,0.141602,0.199808
gemma2-2b,fp16,ukps_sum,rougeL,25,0.287666,0.251973,0.325923
gemma2-2b,q4_k_m,ukps_qa,em,60,0.616667,0.500000,0.733333
gemma2-2b,q4_k_m,ukps_qa,f1,60,0.827676,0.762728,0.887037
gemma2-2b,q4_k_m,ukps_sum,rouge1,25,0.452773,0.420044,0.488583
gemma2-2b,q4_k_m,ukps_sum,rouge2,25,0.179026,0.148695,0.208638
gemma2-2b,q4_k_m,ukps_sum,rougeL,25,0.292519,0.261474,0.324350
gemma2-2b,q8_0,ukps_qa,em,60,0.500000,0.383333,0.616667
gemma2-2b,q8_0,ukps_qa,f1,60,0.756140,0.681027,0.827871
gemma2-2b,q8_0,ukps_sum,rouge1,25,0.463800,0.431454,0.499920
gemma2-2b,q8_0,ukps_sum,rouge2,25,0.174437,0.145769,0.205269
gemma2-2b,q8_0,ukps_sum,rougeL,25,0.289277,0.253498,0.328841
llama32-3b,fp16,ukps_qa,em,60,0.616667,0.500000,0.733333
llama32-3b,fp16,ukps_qa,f1,60,0.813189,0.751575,0.873668
llama32-3b,fp16,ukps_sum,rouge1,25,0.495145,0.452322,0.534607
llama32-3b,fp16,ukps_sum,rouge2,25,0.233120,0.191183,0.275374
llama32-3b,fp16,ukps_sum,rougeL,25,0.340293,0.296439,0.383232
llama32-3b,q4_k_m,ukps_qa,em,60,0.583333,0.466667,0.700000
llama32-3b,q4_k_m,ukps_qa,f1,60,0.801242,0.740562,0.863531
llama32-3b,q4_k_m,ukps_sum,rouge1,25,0.516423,0.477132,0.552454
llama32-3b,q4_k_m,ukps_sum,rouge2,25,0.241024,0.204021,0.277707
llama32-3b,q4_k_m,ukps_sum,rougeL,25,0.346935,0.307887,0.385937
llama32-3b,q8_0,ukps_qa,em,60,0.616667,0.500000,0.733333
llama32-3b,q8_0,ukps_qa,f1,60,0.813189,0.751575,0.873668
llama32-3b,q8_0,ukps_sum,rouge1,25,0.491140,0.446171,0.535571
llama32-3b,q8_0,ukps_sum,rouge2,25,0.228562,0.184347,0.273480
llama32-3b,q8_0,ukps_sum,rougeL,25,0.334466,0.288699,0.380016
mistral7b,fp16,ukps_qa,em,60,0.333333,0.216667,0.450000
mistral7b,fp16,ukps_qa,f1,60,0.633841,0.556537,0.709025
mistral7b,fp16,ukps_sum,rouge1,25,0.520180,0.487191,0.554982
mistral7b,fp16,ukps_sum,rouge2,25,0.247931,0.214341,0.283913
mistral7b,fp16,ukps_sum,rougeL,25,0.349133,0.317276,0.381339
mistral7b,q4_k_m,ukps_qa,em,60,0.333333,0.216667,0.466667
mistral7b,q4_k_m,ukps_qa,f1,60,0.658909,0.589226,0.732678
mistral7b,q4_k_m,ukps_sum,rouge1,25,0.532728,0.502596,0.564077
mistral7b,q4_k_m,ukps_sum,rouge2,25,0.266648,0.234222,0.303525
mistral7b,q4_k_m,ukps_sum,rougeL,25,0.365121,0.327393,0.403849
mistral7b,q8_0,ukps_qa,em,60,0.350000,0.233333,0.483333
mistral7b,q8_0,ukps_qa,f1,60,0.640984,0.565859,0.715445
mistral7b,q8_0,ukps_sum,rouge1,25,0.518844,0.485001,0.553186
mistral7b,q8_0,ukps_sum,rouge2,25,0.249867,0.215676,0.284959
mistral7b,q8_0,ukps_sum,rougeL,25,0.347153,0.315207,0.379646
phi3-mini,fp16,ukps_qa,em,60,0.266667,0.166667,0.383333
phi3-mini,fp16,ukps_qa,f1,60,0.559536,0.476559,0.641564
phi3-mini,fp16,ukps_sum,rouge1,25,0.476789,0.442163,0.508081
phi3-mini,fp16,ukps_sum,rouge2,25,0.209004,0.173903,0.245681
phi3-mini,fp16,ukps_sum,rougeL,25,0.315002,0.279434,0.350694
phi3-mini,q4_k_m,ukps_qa,em,60,0.183333,0.083333,0.283333
phi3-mini,q4_k_m,ukps_qa,f1,60,0.493831,0.415057,0.569876
phi3-mini,q4_k_m,ukps_sum,rouge1,25,0.456476,0.422929,0.491976
phi3-mini,q4_k_m,ukps_sum,rouge2,25,0.194776,0.162041,0.227251
phi3-mini,q4_k_m,ukps_sum,rougeL,25,0.306946,0.278263,0.335806
phi3-mini,q8_0,ukps_qa,em,60,0.283333,0.183333,0.400000
phi3-mini,q8_0,ukps_qa,f1,60,0.575790,0.490182,0.655448
phi3-mini,q8_0,ukps_sum,rouge1,25,0.469697,0.439002,0.500558
phi3-mini,q8_0,ukps_sum,rouge2,25,0.193804,0.163533,0.223750
phi3-mini,q8_0,ukps_sum,rougeL,25,0.305755,0.272289,0.341077
