model,task,precision,n,mean_f1,mean_contains,mean_words,delta_f1,delta_f1_lo,delta_f1_hi,delta_contains,delta_contains_lo,delta_contains_hi,verdict
gemma2-2b,cuad,fp16,200,0.360618,0.255000,26.745000,,,,,,,
gemma2-2b,cuad,q4_k_m,200,0.343362,0.240000,24.180000,-0.017257,-0.057920,0.024360,-0.015000,-0.065000,0.030000,no change detected
gemma2-2b,cuad,q8_0,200,0.384398,0.280000,28.160000,0.023779,0.003229,0.043315,0.025000,0.000000,0.055000,inconclusive
gemma2-2b,hotpotqa,fp16,300,0.589949,0.490000,2.093333,,,,,,,
gemma2-2b,hotpotqa,q4_k_m,300,0.572989,0.483333,2.100000,-0.016960,-0.047004,0.012051,-0.006667,-0.036667,0.023333,no change detected
gemma2-2b,hotpotqa,q8_0,300,0.592319,0.493333,2.076667,0.002370,-0.002889,0.010148,0.003333,0.000000,0.010000,no change detected
gemma2-2b,ukps_qa,fp16,60,0.758521,0.800000,5.116667,,,,,,,
gemma2-2b,ukps_qa,q4_k_m,60,0.827676,0.800000,4.083333,0.069154,0.020476,0.122825,0.000000,0.000000,0.000000,form only
gemma2-2b,ukps_qa,q8_0,60,0.756140,0.800000,5.166667,-0.002381,-0.042857,0.035714,0.000000,0.000000,0.000000,no change detected
llama32-3b,cuad,fp16,200,0.422280,0.270000,32.135000,,,,,,,
llama32-3b,cuad,q4_k_m,200,0.406355,0.310000,31.020000,-0.015925,-0.048503,0.017655,0.040000,0.000000,0.085000,no change detected
llama32-3b,cuad,q8_0,200,0.408919,0.270000,32.475000,-0.013361,-0.031443,-0.000625,0.000000,-0.020000,0.020000,inconclusive
llama32-3b,hotpotqa,fp16,300,0.604382,0.523333,2.346667,,,,,,,
llama32-3b,hotpotqa,q4_k_m,300,0.619272,0.540000,2.100000,0.014890,-0.013896,0.042168,0.016667,-0.013333,0.050000,no change detected
llama32-3b,hotpotqa,q8_0,300,0.602562,0.530000,2.380000,-0.001820,-0.007484,0.002012,0.006667,0.000000,0.016667,no change detected
llama32-3b,ukps_qa,fp16,60,0.813189,0.816667,4.116667,,,,,,,
llama32-3b,ukps_qa,q4_k_m,60,0.801242,0.750000,3.766667,-0.011947,-0.039259,0.015736,-0.066667,-0.133333,-0.016667,masked by F1
llama32-3b,ukps_qa,q8_0,60,0.813189,0.816667,4.116667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no change detected
mistral7b,cuad,fp16,200,0.498946,0.355000,34.955000,,,,,,,
mistral7b,cuad,q4_k_m,200,0.465535,0.320000,34.825000,-0.033412,-0.059729,-0.008694,-0.035000,-0.075000,0.000000,inconclusive
mistral7b,cuad,q8_0,200,0.497018,0.350000,34.935000,-0.001928,-0.008526,0.003803,-0.005000,-0.020000,0.000000,no change detected
mistral7b,hotpotqa,fp16,300,0.611407,0.640000,4.470000,,,,,,,
mistral7b,hotpotqa,q4_k_m,300,0.625724,0.643333,4.380000,0.014318,-0.005660,0.033986,0.003333,-0.023333,0.026667,no change detected
mistral7b,hotpotqa,q8_0,300,0.609319,0.643333,4.390000,-0.002087,-0.008839,0.003045,0.003333,0.000000,0.010000,no change detected
mistral7b,ukps_qa,fp16,60,0.633841,0.900000,7.866667,,,,,,,
mistral7b,ukps_qa,q4_k_m,60,0.658909,0.883333,7.133333,0.025068,-0.001554,0.062160,-0.016667,-0.083333,0.033333,no change detected
mistral7b,ukps_qa,q8_0,60,0.640984,0.900000,7.816667,0.007143,0.000000,0.021429,0.000000,0.000000,0.000000,no change detected
phi3-mini,cuad,fp16,200,0.368500,0.250000,27.730000,,,,,,,
phi3-mini,cuad,q4_k_m,200,0.338098,0.230000,27.375000,-0.030402,-0.059232,0.000425,-0.020000,-0.060000,0.015000,no change detected
phi3-mini,cuad,q8_0,200,0.367134,0.240000,27.950000,-0.001366,-0.010975,0.008519,-0.010000,-0.030000,0.005000,no change detected
phi3-mini,hotpotqa,fp16,300,0.477914,0.463333,4.490000,,,,,,,
phi3-mini,hotpotqa,q4_k_m,300,0.452814,0.456667,5.146667,-0.025100,-0.052801,0.003747,-0.006667,-0.040000,0.026667,no change detected
phi3-mini,hotpotqa,q8_0,300,0.485339,0.476667,4.740000,0.007425,-0.003266,0.019873,0.013333,0.000000,0.030000,no change detected
phi3-mini,ukps_qa,fp16,60,0.559536,0.933333,11,,,,,,,
phi3-mini,ukps_qa,q4_k_m,60,0.493831,0.950000,12.166667,-0.065705,-0.116781,-0.025837,0.016667,-0.033333,0.083333,form only
phi3-mini,ukps_qa,q8_0,60,0.575790,0.933333,10.250000,0.016254,0.000000,0.037386,0.000000,0.000000,0.000000,no change detected
